event_id,character_id,role,perspective_summary,emotional_impact,knowledge_state
7150313e-5fc7-5044-9d77-cb56fdb2b205,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,manipulator,우진은 대수의 사회적 삶과 가족의 흔적을 끊어 그를 복수의 무대에 가둔다.,대수가 오래 버틸수록 계획이 더 깊게 작동한다고 느낀다.,우진은 대수를 살인범처럼 보이게 만든 조작과 사진 앨범의 의미를 알고 있다.
ec2a4a56-3dbf-5dff-a3aa-416e4a2245b2,f36898cf-4392-558d-bad6-aa6e3dba9e34,released,대수는 자유를 얻었지만 곧바로 누군가가 자신의 동선을 조종하고 있음을 느낀다.,자유의 기쁨보다 의심과 복수심이 앞선다.,대수는 아키라로 향한 선택과 전화 반응이 최면 암시에 따른 것임을 아직 모른다.
ec2a4a56-3dbf-5dff-a3aa-416e4a2245b2,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,first-contact,"미도는 이상하고 상처 입은 손님 대수를 돕게 되고, 그에게 설명하기 어려운 끌림을 느낀다.","두려움과 호기심, 연민이 뒤섞인다.",미도는 자신도 최면 암시의 일부라는 사실과 대수의 가족관계를 전혀 모른다.
ec2a4a56-3dbf-5dff-a3aa-416e4a2245b2,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,controller,우진은 대수와 미도의 만남이 정해진 순서대로 진행되는지 지켜본다.,오래 준비한 장치가 작동하는 것을 차갑게 즐긴다.,"우진은 대수와 미도에게 걸린 암시, 전화 멜로디, 만남의 목적을 모두 알고 있다."
a74fc21a-cc17-5197-bba2-520ead74ee20,f36898cf-4392-558d-bad6-aa6e3dba9e34,seeker,"대수는 미도를 의심하면서도 그녀에게 의지하게 되고, 복수의 길에 끌어들인다.",오래 닫혀 있던 감정이 경계심과 함께 다시 움직인다.,"대수는 미도가 자기 딸이라는 사실을 모르며, 미도의 행동이 암시로 시작되었다는 점도 모른다."
a74fc21a-cc17-5197-bba2-520ead74ee20,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,helper,미도는 대수의 사연을 믿기 어렵지만 그를 내버려 둘 수 없다고 느낀다.,연민이 친밀감과 사랑으로 바뀌기 시작한다.,"미도는 대수의 실종, 감금, 딸의 행방을 부분적으로만 알며 자신의 출생 관련 진실은 모른다."
0ee78a02-a37e-5887-9399-4b1309abb5d2,f36898cf-4392-558d-bad6-aa6e3dba9e34,hunter,대수는 몸으로 길을 뚫으며 감금의 배후에 가까워졌다고 믿는다.,상처와 피로 속에서도 복수심이 더 선명해진다.,대수는 감금방을 찾지만 우진의 진짜 목적과 미도에게 놓인 함정은 아직 모른다.
0ee78a02-a37e-5887-9399-4b1309abb5d2,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,assistant,미도는 대수를 도우면서도 그가 점점 위험한 사람처럼 변하는 것을 본다.,걱정과 두려움이 커지지만 대수를 떠나지 못한다.,미도는 감금방의 존재를 알게 되지만 감금과 자기 삶이 연결되어 있다는 사실은 모른다.
0ee78a02-a37e-5887-9399-4b1309abb5d2,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,observer,"우진은 대수가 단서를 따라 움직이도록 허용하며, 추적 자체를 게임의 일부로 만든다.",대수가 정답 대신 복수의 표면에 매달리는 모습을 흥미롭게 본다.,우진은 감금방 단서가 대수를 결국 자신에게 데려오도록 설계되었음을 알고 있다.
ca825e82-c23e-5d0d-a6a2-7778f4cfa9b9,f36898cf-4392-558d-bad6-aa6e3dba9e34,challenged,"대수는 드디어 적을 만났다고 믿지만, 질문의 방향이 틀렸다는 사실은 모른다.",분노가 목표를 얻으며 더 조급해진다.,"대수는 우진의 이름과 존재를 알지만, 자신이 왜 풀려났는지는 아직 모른다."
ca825e82-c23e-5d0d-a6a2-7778f4cfa9b9,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,game-master,우진은 대수에게 복수의 게임처럼 보이는 수수께끼를 던져 더 깊은 함정으로 유도한다.,복수의 끝을 앞두고 차분한 흥분과 공허함을 동시에 느낀다.,우진은 대수가 찾을 질문이 '왜 가뒀나'가 아니라 '왜 풀어줬나'임을 알고 숨긴다.
9eb2aa97-7269-51c8-ae18-6794090412ca,f36898cf-4392-558d-bad6-aa6e3dba9e34,remembering,대수는 자신이 가볍게 옮긴 말이 누군가에게 치명적인 결과를 낳았다는 가능성을 마주한다.,복수심 사이로 죄책감과 불안이 스며든다.,"대수는 수아의 죽음과 자신의 소문을 연결하지만, 우진이 설계한 최종 진실은 아직 모른다."
9eb2aa97-7269-51c8-ae18-6794090412ca,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,listener,미도는 대수가 찾은 과거를 들으며 그가 복수보다 이유를 알고 싶어 한다고 믿는다.,대수를 도망치게 하고 싶을 만큼 불길함을 느낀다.,미도는 수아와 우진의 과거를 일부 듣지만 자신과 대수의 혈연 관계는 모른다.
9eb2aa97-7269-51c8-ae18-6794090412ca,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,origin,우진에게 이 사건은 누나의 죽음과 자기 복수의 출발점이다.,오래 묻어둔 상실과 분노가 여전히 현재처럼 살아 있다.,"우진은 소문, 수아의 죽음, 자신이 붙잡았던 손을 놓은 기억까지 알고 있다."
53369f3f-0c38-5292-b0d1-315fec621caf,f36898cf-4392-558d-bad6-aa6e3dba9e34,revealed-target,대수는 자신의 선택이라고 믿은 만남과 사랑이 우진의 장치 속에서 시작되었다는 사실에 얼어붙는다.,분노보다 더 깊은 수치와 공포가 밀려온다.,"대수는 최면 조작을 알게 되지만, 사진 앨범의 최종 진실을 보기 전까지 미도의 정체는 모른다."
53369f3f-0c38-5292-b0d1-315fec621caf,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,unaware-subject,"미도는 이 폭로 현장에 없고, 자신이 조작의 대상이었다는 사실을 알지 못한다.",직접 겪지 않았기 때문에 이 사건의 감정적 의미를 알 수 없다.,미도는 끝까지 최면 조작의 전모와 자기 출생의 진실을 모른다.
53369f3f-0c38-5292-b0d1-315fec621caf,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,revealer,우진은 대수가 사랑이라고 믿은 감정의 출발점까지 흔들어 복수의 완성을 준비한다.,잔혹한 설명 속에서도 자기 고통을 증명하려는 집착이 드러난다.,우진은 대수와 미도 모두에게 걸린 암시와 그 이후 두 사람이 스스로 선택한 관계를 구분해 알고 있다.
d1e68fa8-a99e-5e35-9ddc-80c68e5a1c43,f36898cf-4392-558d-bad6-aa6e3dba9e34,truth-bearer,대수는 복수의 대상이 자신에게 만든 가장 잔혹한 진실과 마주하고 미도를 지켜야 한다는 생각만 남는다.,"죄책감, 수치, 공포, 보호 본능이 한꺼번에 무너져 내린다.","대수는 미도가 자기 딸이라는 사실을 알며, 미도에게는 절대 알려져선 안 된다고 믿는다."
d1e68fa8-a99e-5e35-9ddc-80c68e5a1c43,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,hidden-target,미도는 같은 종류의 상자 앞에 놓이지만 안의 내용을 모른 채 대수의 전화를 기다린다.,불길함과 두려움을 느끼지만 진실의 의미는 알지 못한다.,"미도는 상자 안에 무엇이 있는지 모르며, 대수가 왜 절대 열지 말라고 하는지도 모른다."
d1e68fa8-a99e-5e35-9ddc-80c68e5a1c43,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,executioner,우진은 대수에게 자신이 당한 소문과 금기의 고통을 다른 방식으로 되돌려 주었다고 본다.,복수의 완성 앞에서 눈물과 공허함을 함께 느낀다.,"우진은 미도의 정체, 사진 앨범의 내용, 상자가 대수와 미도에게 각각 어떤 의미인지 모두 알고 있다."
34457670-12e4-5a08-977f-b273688259b7,f36898cf-4392-558d-bad6-aa6e3dba9e34,supplicant,대수는 복수심을 버리고 미도가 진실을 모르게 하는 것만을 목표로 삼는다.,자기혐오와 보호 본능이 극단적인 자기 처벌로 터진다.,"대수는 진실을 모두 알고 있으며, 미도는 아직 모르고 있다고 확인하려 한다."
34457670-12e4-5a08-977f-b273688259b7,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,protected-unaware,미도는 전화 너머의 대수를 믿고 상자를 열지 않는다.,공포와 혼란 속에서도 대수의 말을 따른다.,"미도는 보라색 상자와 사진 앨범의 의미, 대수가 무릎 꿇고 빈 이유를 모른다."
34457670-12e4-5a08-977f-b273688259b7,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,judge,우진은 대수의 붕괴를 지켜본 뒤 미도에게 진실을 알리지 않는 선택을 한다.,복수가 완성되자 살아갈 이유가 사라진 듯한 공허함을 느낀다.,우진은 대수가 진실을 알고 미도가 모른다는 상태를 의도적으로 남겨둔다.
0eb4a517-b445-5051-831a-1acf67f05bee,f36898cf-4392-558d-bad6-aa6e3dba9e34,survivor,"대수는 복수할 대상마저 사라진 뒤, 진실을 안 자신과 미도를 지켜야 하는 자신 사이에 남겨진다.",승리감은 없고 깊은 절망과 자기혐오만 남는다.,"대수는 우진의 조작과 미도의 정체를 알고 있으며, 이후 그 기억을 분리하려 한다."
0eb4a517-b445-5051-831a-1acf67f05bee,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,self-destroyed,우진은 복수의 끝에서 수아를 붙잡았던 손을 놓은 기억으로 돌아간다.,완성된 복수보다 누나에 대한 상실과 공허가 더 크게 남는다.,우진은 수아의 죽음에 자신도 결정적으로 얽혀 있음을 알고 죽음을 선택한다.
4cac3bb6-e2eb-5884-974d-99c34191c027,f36898cf-4392-558d-bad6-aa6e3dba9e34,divided,"대수는 미도와 살기 위해 진실을 품은 자신을 떼어내려 하지만, 그 결과가 온전히 성공했는지는 확신할 수 없다.",살고 싶다는 욕망과 기억을 지워야 한다는 절망이 동시에 남는다.,"대화 기준의 대수는 기억 분리 직전 또는 그 과정에 있는 사람으로, 진실을 알고 있지만 미도에게 숨기려 한다."
4cac3bb6-e2eb-5884-974d-99c34191c027,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,reunited-unaware,미도는 변해버린 대수를 걱정하며 다시 품는다.,불안하지만 대수를 사랑하고 보호하려는 마음이 앞선다.,"미도는 대수의 편지, 기억 분리의 이유, 자신과 대수의 혈연 관계를 모른다."
